Devices
2000
,,EMG_cometa - EMG Channels,,,,,,,,,,,,,,,,
Frame,Sub Frame,EMG01_FDS_right,EMG02_FDS_left,EMG03_biceps_brachii_right,EMG04_biceps_brachii_left,EMG05_trapezius_trans_right,EMG06_trapezius_trans_left,EMG07,EMG08,EMG09,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,-5.13919,-3.45057,-0.0507998,2.66435,-1.13031,-3.21869,-3299.9,-3220.49,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
1,1,-2.41824,-0.0054872,-1.51361,-6.71228,-3.22141,-5.06431,-3299.9,-3206.41,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
1,2,-2.83756,-4.91667,-4.50805,-4.85786,-4.95833,-8.13353,-3299.9,-3193,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
1,3,-3.04994,-5.35064,-2.1693,-1.39333,-7.64169,-8.02695,-3299.9,-3180,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
1,4,-4.42827,-1.4839,-0.169354,-4.38963,-7.62216,-7.1848,-3299.9,-3165.61,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
1,5,-3.77215,-4.20045,-4.20045,-7.27458,-5.16633,-6.82486,-3299.9,-3152.13,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
1,6,-2.63556,-4.61207,-4.09912,-3.01068,-1.24886,-6.63345,-3299.9,-3138.7,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
1,7,-4.1327,-3.02779,-4.20106,-1.11473,-2.26181,-7.68983,-3299.9,-3125.56,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
1,8,-3.34399,-1.86002,-5.31088,-3.52464,-3.16263,-10.4532,-3299.9,-3112.51,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
1,9,0.739244,-2.14943,-4.213,-4.96021,-1.66209,-9.49018,-3299.9,-3099.41,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
2,0,-0.672868,-3.7348,-4.14554,-4.69466,-2.23837,-4.66164,-3299.9,-3086.73,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
2,1,-4.93761,-0.639144,-4.1147,-2.62318,-1.82561,-4.76233,-3299.9,-3073.33,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
2,2,-2.66871,2.45115,-4.08591,-2.57883,-1.93688,-5.99404,-3299.9,-3060.12,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
2,3,-4.75525,1.39177,-2.75569,-2.95533,-1.6221,-1.25789,-3299.9,-3047.95,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
2,4,-5.29208,-2.67427,-3.51605,-3.39778,-8.34398,-2.6704,-3299.9,-3034.54,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
2,5,-7.38562,1.35728,0.455688,-6.40051,-9.20532,-3.24463,-3299.9,-3021.72,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
2,6,-6.01096,-7.32753,0.149425,-3.43021,-8.30922,-1.96913,-3299.9,-3010.22,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
2,7,-4.29039,-8.0379,0.701971,1.92519,-2.35449,-2.78172,-3299.9,-2876.42,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
2,8,-7.25775,7.66041,-4.37127,2.49952,-9.15071,-5.84481,-3299.9,3110.29,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
2,9,-2.25456,1.48475,3.06749,-3.59885,-6.9563,-3.2542,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
3,0,-3.56617,-6.80872,-1.18341,-2.28793,-5.69538,-1.26781,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
3,1,-0.850858,-3.40919,-3.31881,-0.856809,-4.79493,-0.511072,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
3,2,-0.822732,0.534257,3.05366,-2.31287,-6.03053,-1.5678,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
3,3,-4.42215,-0.697256,1.32969,-1.43927,-9.42441,-1.33216,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
