Devices,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
,,EMG_cometa - EMG Channels,,,,,,,,,,,,,,,
Frame,Sub Frame,EMG01_FDS_right,EMG02_FDS_left,EMG03_biceps_brachii_right,EMG04_biceps_brachii_left,EMG05_trapezius_trans_right,EMG06_trapezius_trans_left,EMG07,EMG08,EMG09,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
8,2,13.1962,-9.6644,-8.89225,-3.23494,-2.47357,-2.87996,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
8,3,9.03033,-9.65441,-4.68819,1.14083,-5.58252,-5.98624,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
8,4,-1.12967,-23.9565,-10.5141,-4.12246,-11.8179,0.635994,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
8,5,-11.378,-37.6635,-8.57613,-2.83844,-7.25862,-0.382227,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
8,6,-18.5559,-52.1148,-9.15036,-3.50837,-3.90896,-6.89013,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
8,7,-22.8395,-63.6721,-7.95075,3.19714,-5.6941,-4.1554,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
8,8,-13.3553,-69.5902,-10.1525,-4.04917,-3.5438,-5.51803,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
8,9,-10.734,-64.8762,-7.63963,-2.96893,-2.22242,-2.823,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
9,0,-2.95208,-52.1524,-8.2248,-3.61459,-5.22649,-2.92072,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
9,1,5.86882,-38.9417,-5.18626,-5.0278,-3.28269,-5.9091,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
9,2,9.58893,-23.3562,-3.85927,-3.52464,-0.780384,-6.33377,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
9,3,8.52469,-11.9608,-1.99007,-1.54165,-0.100708,-5.85246,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
9,4,5.62803,-8.2685,2.88544,-3.12312,-2.43413,-4.80699,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
9,5,5.29638,-6.72334,1.21309,-1.1067,-2.7424,-5.94232,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
9,6,7.35545,-8.29366,-2.42915,0.520028,-2.13889,-7.74641,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
9,7,11.9402,-18.7327,0.00848126,-1.9885,-3.8165,-6.87259,-3299.9,472.667,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
9,8,16.1854,-19.3991,4.5452,-3.63471,-2.98898,-5.16984,-3299.9,-3265.01,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
9,9,17.0113,-3.69771,5.58476,-4.06582,0.103482,-6.00013,-3299.9,-3251.09,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
10,0,19.72,5.40644,2.01416,-3.6289,1.67515,-7.20012,-3299.9,-3236.96,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
10,1,22.3569,29.0745,1.43088,-5.83486,6.35465,-3.37623,-3299.9,-3223.32,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
10,2,28.3536,51.1031,-1.8048,-6.56378,0.649033,-3.38854,-3299.9,-3209.56,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
10,3,26.242,91.0994,-8.21342,-4.95357,-3.70266,-8.24784,-3299.9,-3195.85,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
10,4,23.0337,113.649,-11.3261,-10.7752,-1.0395,-5.55558,-3299.9,-3182.03,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
10,5,27.0485,102.036,-5.25884,-0.618711,-2.50111,-5.8067,-3299.9,-3168.77,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
10,6,22.9332,73.5158,-8.79991,1.86961,-2.02259,-7.72079,-3299.9,-3154.03,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
10,7,17.2196,32.2094,-6.60587,-6.54818,-0.979961,-5.31004,-3299.9,-3140.99,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
10,8,9.07396,4.91602,-7.6025,-3.94574,-1.97455,-4.86906,-3299.9,-3128.33,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
10,9,1.92383,-11.5617,-3.21791,-4.95297,-2.87097,-2.14563,-3299.9,-3114.52,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
11,0,-16.4397,-12.8567,-2.4743,-2.31353,-4.12735,0.837909,-3299.9,-3101.33,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
11,1,-28.1051,-20.0362,1.1085,-1.95465,-3.69111,-1.15353,-3299.9,-3088.24,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
11,2,-27.3722,-35.6631,3.86601,-1.28686,-0.181042,-3.90889,-3299.9,-3075.89,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
11,3,-28.6978,-44.1523,3.76389,-6.15414,0.669233,-5.62924,-3299.9,-3063.51,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
11,4,-28.1893,-43.6149,2.49745,-7.74858,-5.83322,-4.1374,-3299.9,-3050.5,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
11,5,-22.3144,-40.415,0.563698,-6.85542,-8.38983,-0.45153,-3299.9,-3037.79,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
11,6,-15.689,-41.2736,0.571432,-1.31539,-6.6522,-1.33061,-3299.9,-3025.05,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
11,7,-5.16668,-46.7114,2.29665,1.99308,-6.75325,-5.21027,-3299.9,-258.204,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
11,8,8.8997,-51.2347,4.05149,1.39798,-5.98031,-7.00758,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
11,9,15.5392,-48.8654,6.21501,3.69938,-5.31886,-5.84696,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
12,0,16.4261,-27.9069,6.28205,-0.0106836,-5.9723,-1.10474,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
12,1,17.1336,11.9866,4.41668,0.920639,-3.13209,0.115184,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
12,2,5.55646,27.032,2.43525,-0.132892,-7.0859,0.957541,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
12,3,-6.88396,19.0462,-3.09399,-1.4879,-5.53632,1.30374,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
12,4,-15.3747,45.6744,-3.6926,-5.82391,-3.11102,-0.622203,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
12,5,-23.5338,93.7803,-11.8238,-0.551229,-3.92897,-0.940782,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
12,6,-30.0417,99.1397,-17.6618,-1.69968,-1.53636,-4.19474,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
12,7,-22.443,77.8008,-15.3577,-2.28009,-8.8006,-3.56701,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
12,8,-15.6773,40.7481,-18.6144,4.49875,-3.25714,-4.78018,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
12,9,-7.962,15.6966,-14.9697,1.27346,-6.41243,-6.45872,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
13,0,4.10799,3.97571,-11.4912,1.22052,2.8078,-4.75582,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
13,1,11.2045,-5.47799,-9.7305,-0.605937,-0.31067,-7.58948,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
13,2,17.4956,-3.25027,-8.39064,1.68607,-2.4556,-5.83598,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
13,3,19.5088,2.12492,-8.73178,0.370423,-5.36248,-5.56633,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
13,4,18.9594,3.92761,-8.15037,-3.67276,-6.11374,-0.953589,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
13,5,20.8169,0.320905,-9.14645,-0.62929,-2.04153,0.15929,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
13,6,19.78,-8.2792,-8.48931,5.21124,-1.02973,-2.65811,-3299.9,3299.8,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
13,7,17.2647,-25.2501,0.754677,4.59383,-5.07512,-4.62961,-3299.9,387.664,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
13,8,14.2561,-36.918,14.308,2.06583,-9.27979,-4.55687,-3299.9,-3263.07,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
13,9,10.2864,-34.2419,18.6091,1.8809,-7.55499,-1.59505,-3299.9,-3249.59,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
14,0,12.7183,-36.83,11.4137,0.1365,1.60063,0.255631,-3299.9,-3235.69,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
14,1,9.26456,-37.7944,6.06578,-0.847836,2.89877,0.738844,-3299.9,-3221.43,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
14,2,2.23273,-35.8279,3.95669,-5.4825,-0.73704,-4.5612,-3299.9,-3207,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
14,3,2.2799,-29.2075,9.19549,-5.3464,0.359347,-5.70042,-3299.9,-3193.13,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
14,4,-0.822522,-23.9873,9.27623,-8.95626,-4.57475,-2.4724,-3299.9,-3179.84,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
14,5,-5.98593,-13.3024,2.63571,-14.2227,-3.93102,-7.80085,-3299.9,-3166.76,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
14,6,-11.0583,-5.16756,0.913032,-6.37494,-1.92122,-8.7579,-3299.9,-3154.22,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
14,7,-6.78783,-12.0002,-2.71634,-6.63061,-2.67613,-2.56485,-3299.9,-3139.4,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9,-3299.9
