threshold,covered_area,time
10,9137.098221206918,1.647724151611328
15,9337.989782461244,1.5326869487762451
10,9043.417359231553,2.0857248306274414
15,10744.549220626765,2.0324361324310303
10,9628.886028982304,2.416547536849976
15,14265.02191882624,2.225003719329834
10,7391.2328767301715,1.898207426071167
15,12476.212893267226,1.6490867137908936
10,9628.886028982304,2.3500943183898926
15,14265.02191882624,2.175074577331543
10,7391.2328767301715,1.887779712677002
15,12476.212893267226,1.7435719966888428
