threshold,covered_area,time
10,5002.020614813958,1.3474628925323486
15,6973.193713633712,1.2794630527496338
10,4258.591407682172,1.797142744064331
15,5052.383952077481,1.80672574043274
10,5842.7193981142045,2.1655993461608887
15,10108.066135398883,2.1161084175109863
10,4835.434848982565,2.249655246734619
15,8707.56254581981,2.30669903755188
10,5842.7193981142045,2.8335928916931152
15,10108.066135398883,4.705695629119873
10,4835.434848982565,3.544976234436035
15,8707.56254581981,2.834087610244751
